County,High Ozone Day Grade,Ozone Wgt. Avg.,Ozone Orange Days,Ozone Red Days,Ozone Purple Days,GEOID,Particle Pollution Grade,Particle Pollution Wgt. Avg.,Particle Pollution Orange Days,Particle Pollution Red Days,Particle Pollution Purple Days,Particle Pollution Maroon Days,Particle Pollution Particle Pollution Grade (Annual),Particle Pollution Design Value,Total Pop,Under 18,65 & Over,Pediatric Asthma,Adult Asthma,COPD,Lung Cancer,CV Disease,Ever Smoker,Poverty Estimate,Non White
Roanoke City,DNC,DNC,DNC,DNC,DNC,51770,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"99,920","22,537","16,520","1,612","6,600","5,051",57,"6,568","29,457","19,812","41,824"
Rockbridge,A,0,0,0,0,51163,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"22,752","3,985","5,909",285,"1,570","1,431",13,"1,991","7,501","2,670","1,850"
Rockingham,B,0.3,1,0,0,51165,A,0,0,0,0,0,Pass,7,"81,244","17,785","15,472","1,272","5,383","4,367",46,"5,811","24,549","6,909","9,513"
Russell,DNC,DNC,DNC,DNC,DNC,51167,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"26,748","5,052","5,773",361,"1,835","1,574",15,"2,127","8,538","5,683",919
Salem City,DNC,DNC,DNC,DNC,DNC,51775,A,0,0,0,0,0,Pass,7.2,"25,643","5,115","4,836",366,"1,743","1,381",14,"1,827","7,885","2,280","3,845"
Scott,DNC,DNC,DNC,DNC,DNC,51169,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"21,534","3,831","5,211",274,"1,488","1,319",12,"1,814","7,024","3,834",744
Shenandoah,DNC,DNC,DNC,DNC,DNC,51171,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"43,497","9,220","9,443",659,"2,891","2,483",24,"3,375","13,477","4,479","5,481"
Smyth,DNC,DNC,DNC,DNC,DNC,51173,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"30,472","5,857","6,706",419,"2,078","1,783",17,"2,419","9,679","6,059","1,865"
Southampton,DNC,DNC,DNC,DNC,DNC,51175,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"17,586","3,197","3,556",228,"1,224","1,043",10,"1,392","5,666","2,350","6,843"
Spotsylvania,DNC,DNC,DNC,DNC,DNC,51177,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"134,238","33,164","19,129","2,373","8,676","6,534",77,"8,337","38,397","10,061","43,798"
Stafford,B,0.7,2,0,0,51179,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"149,960","39,088","15,674","2,797","9,602","6,613",86,"8,062","41,163","7,822","59,400"
Staunton City,DNC,DNC,DNC,DNC,DNC,51790,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"24,922","4,835","5,307",346,"1,694","1,394",14,"1,881","7,786","2,937","4,811"
Suffolk City,B,0.7,2,0,0,51800,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"91,185","22,132","13,164","1,583","5,924","4,454",52,"5,688","26,212","9,846","46,396"
Surry,DNC,DNC,DNC,DNC,DNC,51181,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"6,474","1,084","1,468",77,456,404,3,549,"2,146",831,"3,049"
Sussex,DNC,DNC,DNC,DNC,DNC,51183,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"11,237","1,732","1,996",123,810,612,6,794,"3,603","1,980","6,873"
Tazewell,DNC,DNC,DNC,DNC,DNC,51185,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"40,855","7,883","9,090",564,"2,780","2,381",23,"3,237","12,950","7,104","2,527"
Virginia Beach City,DNC,DNC,DNC,DNC,DNC,51810,A,0,0,0,0,0,Pass,6.7,"450,189","99,573","64,004","7,126","30,059","21,540",258,"27,256","131,106","33,084","174,180"
Warren,DNC,DNC,DNC,DNC,DNC,51187,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"40,003","8,799","6,420",629,"2,671","2,087",23,"2,701","11,978","4,026","5,366"
Washington,DNC,DNC,DNC,DNC,DNC,51191,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"54,402","10,061","12,374",720,"3,738","3,239",31,"4,413","17,482","8,022","2,601"
Waynesboro City,DNC,DNC,DNC,DNC,DNC,51820,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"22,628","5,346","4,062",382,"1,466","1,153",12,"1,525","6,620","3,370","5,829"
Westmoreland,DNC,DNC,DNC,DNC,DNC,51193,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"17,830","3,363","4,520",240,"1,211","1,098",10,"1,526","5,774","2,914","6,426"
Williamsburg City,DNC,DNC,DNC,DNC,DNC,51830,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"14,896","1,712","2,432",122,"1,122",728,8,916,"4,775","2,437","4,799"
Winchester City,DNC,DNC,DNC,DNC,DNC,51840,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"28,108","6,354","4,466",454,"1,856","1,384",16,"1,786","8,216","4,124","9,735"
Wise,DNC,DNC,DNC,DNC,DNC,51195,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"38,012","7,477","6,931",535,"2,598","2,043",22,"2,686","11,712","8,929","3,262"
Wythe,A,0,0,0,0,51197,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"28,754","5,672","6,213",405,"1,951","1,677",16,"2,270","9,086","4,391","1,841"
York,DNC,DNC,DNC,DNC,DNC,51199,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"67,846","16,156","10,957","1,156","4,414","3,417",39,"4,440","19,759","3,690","20,022"
