County,State,Total Population,Under 18 ,65 & Over,Pediatric Asthma sufferers,Adult Asthma sufferers,COPD sufferers,Lung Cancer sufferers,Heart Disease,Ever Smoked,Poverty,People of Color,Orange Ozone Days,Red Ozone Days,Purple Ozone Days,Wgt. Avg. Ozone Days,Ozone Grade,Orange Pollutant Days,Red  Pollutant Days,Purple  Pollutant Days,Maroon  Pollutant Days,Wgt. Avg.  Pollutant Days,Pollutant Grade,Annual Design Value,Annual Pass/Fail
Rockdale,Georgia,90594,22370,13059,1696,6175,5294,56,6695,26023,11803,63255,12,0,0,4,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Sumter,Georgia,29733,6728,4979,510,2051,1760,18,2258,8724,7208,18073,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Walker,Georgia,69410,15094,12876,1144,4893,4428,44,5794,20924,10542,6459,DNC,DNC,DNC,DNC,DNC,0,1,0,0,0.5,B,8.8,PASS
Washington,Georgia,20386,4398,3540,333,1440,1273,13,1646,6126,4787,11732,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,7.9,PASS
Wilkinson,Georgia,9036,2053,1751,156,632,588,6,778,2712,2062,3908,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Hawaii,Hawaii,200983,43553,42032,4444,14524,6922,92,13054,62784,30903,140018,DNC,DNC,DNC,DNC,DNC,16,2,0,0,6.3,F,12.3,FAIL
Honolulu,Hawaii,980080,207765,173793,21200,71769,30825,449,56918,302694,73345,803626,0,0,0,0,A,0,0,0,0,0,A,3.6,PASS
Kauai,Hawaii,72133,15749,14539,1607,5211,2448,33,4599,22446,6021,50931,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,2.9,PASS
Maui,Hawaii,167207,36347,30566,3709,12147,5506,76,10237,51886,14130,116808,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,4.1,PASS
Ada,Idaho,469966,111737,67792,7997,30846,19607,227,27145,135509,44434,73002,20,0,0,6.7,F,6,1,0,0,2.5,D,7.7,PASS
