County,State,Total Population,Under 18 ,65 & Over,Pediatric Asthma sufferers,Adult Asthma sufferers,COPD sufferers,Lung Cancer sufferers,Heart Disease,Ever Smoked,Poverty,People of Color,Orange Ozone Days,Red Ozone Days,Purple Ozone Days,Wgt. Avg. Ozone Days,Ozone Grade,Orange Pollutant Days,Red  Pollutant Days,Purple  Pollutant Days,Maroon  Pollutant Days,Wgt. Avg.  Pollutant Days,Pollutant Grade,Annual Design Value,Annual Pass/Fail
Huron,Michigan,31166,6005,7813,515,2725,2493,19,3015,11787,3876,1506,8,0,0,2.7,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Ingham,Michigan,292735,58406,39459,5014,26538,17510,178,19121,103394,49916,90032,8,0,0,2.7,D,0,0,0,0,0,A,INC,INC
Kalamazoo,Michigan,264870,57311,39630,4920,23343,16323,161,18205,92494,36927,60273,13,0,0,4.3,F,0,0,0,0,0,A,8.2,PASS
Kent,Michigan,653786,157809,89296,13547,55930,39833,398,43600,222134,72623,173392,12,0,0,4,F,0,0,0,0,0,A,8.2,PASS
Lenawee,Michigan,98266,20713,18645,1778,8584,6959,60,8013,35544,9668,13236,7,0,0,2.3,D,0,0,0,0,0,A,7.6,PASS
Macomb,Michigan,874759,184009,148636,15796,77026,60680,532,68173,315302,95731,187352,20,0,0,6.7,F,0,0,0,0,0,A,7.6,PASS
Manistee,Michigan,24528,4264,6318,366,2194,1992,15,2417,9473,3026,2724,4,0,0,1.3,C,0,0,0,0,0,A,5.8,PASS
Mason,Michigan,29100,5889,6854,506,2526,2235,18,2683,10801,3455,2548,8,0,0,2.7,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Missaukee,Michigan,15113,3474,3099,298,1278,1090,9,1279,5385,1920,993,7,0,0,2.3,D,0,0,0,0,0,A,5,PASS
Monroe,Michigan,150439,32193,27262,2764,13122,10737,92,12192,54370,14891,13313,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Muskegon,Michigan,173588,40082,29524,3441,14864,11642,106,13194,60821,26321,41131,13,5,0,6.8,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Oakland,Michigan,1259201,264031,211527,22665,111061,87047,767,97578,453846,102052,356274,16,1,0,5.8,F,0,0,0,0,0,A,8.1,PASS
Ottawa,Michigan,290494,69797,43492,5992,24766,17950,177,20041,99051,19087,47689,11,0,0,3.7,F,INC,INC,INC,INC,INC,INC,INC,INC
St. Clair,Michigan,159337,33131,30022,2844,13971,11684,97,13320,58288,21745,14276,12,1,0,4.5,F,0,0,0,0,0,A,8,PASS
Schoolcraft,Michigan,8068,1370,2162,118,722,689,5,835,3168,1044,1169,11,0,0,3.7,F,INC,INC,INC,INC,INC,INC,INC,INC
Tuscola,Michigan,52516,10732,10635,921,4603,3907,32,4526,19332,6580,3541,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Washtenaw,Michigan,370963,68932,51377,5917,34184,22804,226,24914,133546,52258,111106,15,0,0,5,F,0,0,0,0,0,A,8.1,PASS
Wayne,Michigan,1753893,414221,270554,35558,150021,113859,1066,126753,607144,376649,886177,22,0,0,7.3,F,3,0,0,0,1,C,11.3,PASS
Wexford,Michigan,33466,7761,6388,666,2838,2356,20,2724,11838,4318,1848,7,0,0,2.3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Anoka,Minnesota,353813,84396,49712,4456,22389,11644,197,18783,110424,19568,68706,1,0,0,0.3,B,1,0,0,0,0.3,B,7.3,PASS
Becker,Minnesota,34371,8391,7052,443,2128,1275,19,2197,10905,3764,4775,0,0,0,0,A,0,0,0,0,0,A,4.8,PASS
Beltrami,Minnesota,46847,11769,7548,621,2886,1515,26,2493,14349,8220,13126,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,5.6,PASS
Carlton,Minnesota,35837,8042,6136,425,2297,1273,20,2118,11515,3454,4282,0,0,0,0,A,1,0,0,0,0.3,B,4.8,PASS
Cass,Minnesota,29519,6243,7659,330,1891,1250,16,2232,9959,3771,5070,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Cook,Minnesota,5393,851,1540,45,368,247,3,444,1949,511,810,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,4.4,PASS
Crow Wing,Minnesota,64889,14053,14549,742,4154,2548,36,4434,21430,8105,3342,0,0,0,0,A,1,0,0,0,0.3,B,5.6,PASS
Dakota,Minnesota,425423,103669,60282,5474,26712,13895,237,22453,131830,26434,94730,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,7.1,PASS
Goodhue,Minnesota,46403,10293,9124,543,2969,1737,26,2959,15103,3250,3819,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Hennepin,Minnesota,1259428,276541,176788,14602,81448,40605,702,64806,399090,127826,394877,0,0,0,0,A,1,0,0,0,0.3,B,7.6,PASS
Lake,Minnesota,10658,2005,2775,106,704,459,6,817,3694,900,535,0,0,0,0,A,0,0,0,0,0,A,3.4,PASS
Lyon,Minnesota,25629,6615,4060,349,1568,834,14,1373,7804,3009,4282,0,0,0,0,A,1,0,0,0,0.3,B,5.2,PASS
Mille Lacs,Minnesota,26139,6292,4787,332,1634,937,15,1582,8269,3163,2924,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Olmsted,Minnesota,156277,38258,24272,2020,9747,5132,87,8399,48374,10908,31602,0,0,0,0,A,1,0,0,0,0.3,B,7.1,PASS
Ramsey,Minnesota,550210,128232,79328,6771,34888,17492,307,28089,171376,78160,212529,DNC,DNC,DNC,DNC,DNC,2,1,0,0,1.2,C,7.9,PASS
St. Louis,Minnesota,199754,38011,38748,2007,13289,7434,111,12510,66986,28232,18071,0,0,0,0,A,2,0,0,0,0.7,B,5.2,PASS
Scott,Minnesota,147381,40458,16035,2136,8936,4371,82,6820,43401,7563,28313,2,0,0,0.7,B,0,0,0,0,0,A,INC,INC
Stearns,Minnesota,159256,36701,24079,1938,10121,5166,89,8365,49923,18879,23102,1,0,0,0.3,B,0,0,0,0,0,A,6,PASS
Washington,Minnesota,259201,63678,38906,3362,16216,8679,145,14188,80540,10755,46084,0,0,0,0,A,0,0,0,0,0,A,6.1,PASS
Wright,Minnesota,136349,38003,17215,2007,8182,4167,76,6658,40160,6639,10776,4,0,0,1.3,C,1,0,0,0,0.3,B,6.6,PASS
Bolivar,Mississippi,31333,7611,4951,495,2288,2286,24,2720,10156,8715,21119,2,0,0,0.7,B,INC,INC,INC,INC,INC,INC,INC,INC
DeSoto,Mississippi,182001,46709,23468,3040,13002,12828,140,14980,57883,16255,67090,3,1,0,1.5,C,0,0,0,0,0,A,7.6,PASS
Forrest,Mississippi,75036,17357,10188,1130,5500,5183,57,6008,24334,17341,32299,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,8.6,PASS
Grenada,Mississippi,21055,5040,3744,328,1560,1636,16,1982,6948,4621,9590,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.4,PASS
Hancock,Mississippi,47334,9716,9383,632,3689,3994,36,4891,16472,8181,7287,0,0,0,0,A,1,0,0,0,0.3,B,7.9,PASS
Harrison,Mississippi,206650,49416,30904,3216,15154,15124,159,17888,67367,40288,75374,4,0,0,1.3,C,0,0,0,0,0,A,7.9,PASS
Hinds,Mississippi,237085,57047,33341,3712,17278,16873,180,19775,76704,44204,179704,0,0,0,0,A,1,0,0,0,0.3,B,8.7,PASS
Jackson,Mississippi,143277,33416,22721,2175,10644,10914,110,13025,47427,25348,46723,3,0,0,1,C,0,0,0,0,0,A,7.9,PASS
Lauderdale,Mississippi,75317,17636,13072,1148,5598,5771,58,6953,24900,18243,36106,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lee,Mississippi,85202,21542,12598,1402,6148,6206,65,7359,27368,10977,29848,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Yalobusha,Mississippi,12392,2776,2474,181,943,1017,9,1249,4203,2208,5206,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Andrew,Missouri,17607,4034,3253,339,1274,1282,12,1471,6048,1429,1031,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Boone,Missouri,180005,36565,22058,3076,13353,11528,124,11540,61440,28584,39027,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Buchanan,Missouri,88571,19933,14275,1677,6429,6143,61,6759,30171,13117,15402,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,8.5,PASS
Callaway,Missouri,44889,9401,7304,791,3332,3190,31,3512,15620,4795,4453,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Cass,Missouri,104954,25369,17692,2134,7482,7361,72,8292,35283,8427,13054,2,0,0,0.7,B,0,0,0,0,0,A,6.5,PASS
Cedar,Missouri,14165,3411,3308,287,996,1079,10,1312,4861,2502,782,0,0,0,0,A,0,0,0,0,0,A,6.9,PASS
Clay,Missouri,246365,59326,34771,4991,17598,16394,170,17611,81840,17153,47615,17,0,0,5.7,F,1,0,0,0,0.3,B,6.4,PASS
Clinton,Missouri,20470,4808,3703,404,1474,1482,14,1699,6984,1793,1316,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Greene,Missouri,291923,60957,48085,5128,21465,20199,201,21989,100880,43423,37197,0,0,0,0,A,0,0,0,0,0,A,7.4,PASS
Jackson,Missouri,700307,164979,104655,13879,50227,47231,483,51219,234543,89787,264030,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,8.8,PASS
Jasper,Missouri,120636,30127,18863,2535,8455,8043,83,8824,39706,19498,19533,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Jefferson,Missouri,224347,51958,33636,4371,16322,15621,155,17152,76093,19327,12885,7,0,0,2.3,D,2,0,0,0,0.7,B,7.9,PASS
Lincoln,Missouri,57686,14658,7740,1233,4077,3817,40,4108,18895,6055,4056,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Monroe,Missouri,8664,1895,2023,159,630,680,6,824,3063,1158,630,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Perry,Missouri,19150,4470,3472,376,1377,1378,13,1574,6531,2040,945,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
St. Charles,Missouri,399182,92666,60779,7796,28873,27490,276,30098,134884,22272,52255,22,2,0,8.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Ste. Genevieve,Missouri,17888,3880,3485,326,1318,1349,12,1569,6275,1720,806,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
St. Louis,Missouri,996945,219527,180210,18469,72771,72009,686,81620,344635,102720,342878,14,0,0,4.7,F,0,0,0,0,0,A,9.1,PASS
Taney,Missouri,55852,11774,12108,991,4084,4223,38,4970,19689,8367,6419,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
St. Louis City,Missouri,302838,57526,41490,4840,22996,20693,209,21543,106327,66858,168759,12,1,0,4.5,F,0,1,0,0,0.5,B,8.5,PASS
Fergus,Montana,11113,2317,2724,123,858,590,6,918,3977,1313,672,1,0,0,0.3,B,10,3,0,0,4.8,F,5,PASS
Flathead,Montana,102106,22475,19949,1198,7936,4941,54,7515,35571,11288,7426,0,0,0,0,A,16,7,3,0,10.8,F,8.8,PASS
Gallatin,Montana,111876,22425,14146,1195,9178,4293,59,6524,38489,9721,9792,DNC,DNC,DNC,DNC,DNC,10,3,0,1,5.7,F,4,PASS
Lewis and Clark,Montana,68700,14770,12903,787,5395,3278,36,4971,24014,7061,6059,0,0,0,0,A,31,15,0,0,17.8,F,9.5,PASS
Lincoln,Montana,19794,3609,5670,192,1557,1182,10,1840,7431,3964,1491,DNC,DNC,DNC,DNC,DNC,14,18,1,0,14.3,F,12.9,FAIL
Missoula,Montana,118791,22315,18506,1189,9790,5034,62,7707,41975,14719,12853,0,0,0,0,A,17,12,1,0,12.3,F,10.4,PASS
Phillips,Montana,4074,968,910,52,305,208,2,320,1405,608,683,0,0,0,0,A,6,1,0,0,2.5,D,5.4,PASS
Powder River,Montana,1716,287,466,15,139,100,1,156,651,205,113,3,0,0,1,C,6,5,0,0,4.5,F,7.6,PASS
Ravalli,Montana,43172,8246,11138,439,3398,2415,23,3745,15880,6628,3154,DNC,DNC,DNC,DNC,DNC,34,17,0,0,19.8,F,10,PASS
Richland,Montana,10913,2757,1632,147,827,467,6,696,3600,950,1161,0,0,0,0,A,2,1,0,0,1.2,C,INC,INC
Rosebud,Montana,9063,2624,1431,140,648,384,5,577,2860,1523,4084,0,0,0,0,A,6,5,0,0,4.5,F,6.2,PASS
Silver Bow,Montana,34993,7087,6667,378,2790,1655,18,2533,12374,5697,3609,DNC,DNC,DNC,DNC,DNC,21,4,0,0,9,F,8.7,PASS
Yellowstone,Montana,160137,37629,27117,2005,12325,7093,84,10765,54134,17150,22191,DNC,DNC,DNC,DNC,DNC,8,1,0,0,3.2,D,INC,INC
Douglas,Nebraska,566880,145250,73752,7306,37671,25001,293,30123,165432,64276,175045,4,0,0,1.3,C,2,0,0,0,0.7,B,8.6,PASS
Hall,Nebraska,61607,16920,9150,851,3992,2824,32,3506,17768,7839,21157,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,5.9,PASS
Knox,Nebraska,8419,2039,2078,103,567,488,4,661,2642,1098,1233,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lancaster,Nebraska,317272,72512,44139,3647,21789,14260,164,17246,95483,37583,60782,0,0,0,0,A,0,0,0,0,0,A,6.7,PASS
Sarpy,Nebraska,184459,50551,21677,2543,11989,7845,96,9330,52480,10399,35878,DNC,DNC,DNC,DNC,DNC,2,0,0,0,0.7,B,8.9,PASS
Scotts Bluff,Nebraska,35989,9001,6849,453,2402,1836,19,2372,10884,5021,10234,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,INC,INC
Washington,Nebraska,20667,5017,3673,252,1402,1075,11,1370,6350,1423,1170,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,6.9,PASS
Churchill,Nevada,24440,5574,4628,388,1490,1457,12,1878,7988,2756,6666,9,0,0,3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Clark,Nevada,2231647,517629,328692,36032,136812,120615,1129,151858,705307,307977,1289911,89,1,0,30.2,F,10,2,0,0,4.3,F,9.5,PASS
Douglas,Nevada,48467,7917,13808,551,3151,3651,25,4868,18082,3457,9541,DNC,DNC,DNC,DNC,DNC,10,4,1,0,6,F,6.9,PASS
Elko,Nevada,52460,14298,5943,995,3078,2550,27,3168,15484,4276,17530,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lyon,Nevada,55808,11946,11813,832,3451,3529,28,4594,18821,5803,14325,12,0,0,4,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Washoe,Nevada,465735,100776,76161,7015,29030,26449,236,33558,151502,47627,174026,29,0,0,9.7,F,8,0,0,0,2.7,D,7.6,PASS
White Pine,Nevada,9475,1884,1702,131,602,563,5,719,3173,1082,2702,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Carson City,Nevada,55414,11243,11261,783,3486,3479,28,4507,18826,5952,18435,7,0,0,2.3,D,6,4,0,0,4,F,5.8,PASS
Belknap,New Hampshire,61022,11281,13505,960,5763,4268,38,4313,22888,4149,3043,0,0,0,0,A,0,0,0,0,0,A,4.5,PASS
Cheshire,New Hampshire,76493,13685,15224,1165,7438,5103,48,5029,28446,7307,4654,1,0,0,0.3,B,0,0,0,0,0,A,5.4,PASS
Coos,New Hampshire,31589,5139,7494,438,3051,2289,20,2335,12210,3828,1606,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Grafton,New Hampshire,89786,14522,18566,1236,8920,6087,57,6022,34067,7427,8431,0,0,0,0,A,0,0,0,0,0,A,5.7,PASS
Hillsborough,New Hampshire,415247,84629,65348,7205,39845,25919,261,24459,147824,30147,66220,4,0,0,1.3,C,0,0,0,0,0,A,3.4,PASS
Merrimack,New Hampshire,151132,28949,27566,2465,14536,9863,95,9570,55157,10149,11759,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Rockingham,New Hampshire,309176,59995,55538,5108,29511,20446,195,19796,112882,16270,23733,7,0,0,2.3,D,0,0,0,0,0,A,5.2,PASS
Atlantic,New Jersey,265429,56347,47611,4083,17682,11925,144,18022,77960,33167,116925,2,0,0,0.7,B,0,0,0,0,0,A,6.8,PASS
Bergen,New Jersey,936692,198355,161086,14374,62463,41592,509,62335,273792,63403,415338,25,3,0,9.8,F,1,0,0,0,0.3,B,7.6,PASS
Camden,New Jersey,507078,115090,79408,8340,33052,21467,275,31529,143123,64417,221760,24,0,0,8,F,4,0,0,0,1.3,C,10.2,PASS
Cumberland,New Jersey,150972,36107,23053,2617,9656,6237,82,9099,41681,21430,81710,1,0,0,0.3,B,0,0,0,0,0,A,INC,INC
Essex,New Jersey,799767,188977,108532,13695,51513,32283,434,46181,219471,116246,555679,7,1,0,2.8,D,0,0,0,0,0,A,8.4,PASS
Gloucester,New Jersey,291408,63440,46126,4597,19315,12597,158,18633,83879,21869,63727,20,0,0,6.7,F,0,0,0,0,0,A,INC,INC
Hudson,New Jersey,676061,138221,79920,10016,44808,26516,368,35767,185636,95704,481548,12,2,0,5,F,0,0,0,0,0,A,8.2,PASS
Hunterdon,New Jersey,124714,24097,23105,1746,8615,5887,68,9062,38312,5317,18604,13,3,0,5.8,F,0,0,0,0,0,A,INC,INC
Mercer,New Jersey,369811,78695,56000,5703,24536,15698,201,22796,105508,38279,189371,22,2,0,8.3,F,0,0,0,0,0,A,8.2,PASS
Middlesex,New Jersey,829685,180190,124198,13058,54722,34942,451,50650,235083,65823,479059,23,1,0,8.2,F,0,0,0,0,0,A,8.2,PASS
Monmouth,New Jersey,621354,131723,109201,9546,41656,28059,337,42574,183773,41380,155338,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Morris,New Jersey,494228,104322,84336,7560,33123,22079,269,33227,145375,22980,144503,10,1,0,3.8,F,0,0,0,0,0,A,5.9,PASS
Ocean,New Jersey,601651,144247,135652,10453,38246,27988,327,44170,174990,57366,93692,17,1,0,6.2,F,0,0,0,0,0,A,6.6,PASS
Passaic,New Jersey,503310,119860,73213,8686,32288,20596,273,29818,138627,67374,297927,9,0,0,3,D,0,0,0,0,0,A,7.6,PASS
Union,New Jersey,558067,130522,80252,9459,36144,23038,303,33451,155253,43279,336018,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,9.2,PASS
Warren,New Jersey,105779,20815,19230,1508,7229,4892,57,7446,31963,7006,20003,5,0,0,1.7,C,0,0,0,0,0,A,8.1,PASS
Bernalillo,New Mexico,678701,147370,111216,11089,52392,32622,251,42467,214828,109959,417521,19,0,0,6.3,F,0,0,0,0,0,A,7.8,PASS
Doña Ana,New Mexico,217522,53231,34338,4005,15959,9644,80,12677,65922,52914,158940,52,2,0,18.3,F,4,1,0,0,1.8,C,8.3,PASS
Eddy,New Mexico,57900,15344,8406,1155,4180,2559,21,3314,17140,8981,31228,27,3,0,10.5,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lea,New Mexico,69611,20752,7948,1561,4720,2708,26,3463,19403,10813,45250,9,0,0,3,D,1,0,0,0,0.3,B,7.6,PASS
Rio Arriba,New Mexico,39006,9121,7558,686,3024,2040,14,2681,12328,8498,34040,6,0,0,2,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Sandoval,New Mexico,145179,33748,25756,2539,11168,7291,54,9519,45587,18215,82591,13,0,0,4.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
San Juan,New Mexico,125043,33054,18685,2487,9072,5622,46,7290,37159,28486,77550,23,0,0,7.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Santa Fe,New Mexico,150056,26988,36485,2031,12611,8953,55,11943,51444,17972,85555,3,0,0,1,C,INC,INC,INC,INC,INC,INC,INC,INC
Taos,New Mexico,32835,5778,8688,435,2797,2045,12,2747,11404,6955,21199,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Valencia,New Mexico,76456,17911,13502,1348,5862,3819,28,4987,23937,12908,51733,6,0,0,2,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Albany,New York,307117,56359,52073,3472,25603,14152,177,19470,90763,32888,86584,4,0,0,1.3,C,0,0,0,0,0,A,6.9,PASS
Bronx,New York,1432132,354692,183375,21849,110324,57608,825,76621,382917,380470,1301368,15,0,0,5,F,0,0,0,0,0,A,8.1,PASS
Chautauqua,New York,127939,25997,25704,1601,10377,6321,74,8983,38327,22426,16477,9,0,0,3,D,0,0,0,0,0,A,6.2,PASS
Dutchess,New York,293718,55149,51633,3397,24355,14248,170,19713,88606,25387,84652,7,1,0,2.8,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Erie,New York,919719,186092,165052,11463,74829,43545,531,60689,271226,122204,227998,9,0,0,3,D,0,0,0,0,0,A,7.2,PASS
Essex,New York,37300,6062,8743,373,3174,2035,22,2943,11985,4150,2877,4,0,0,1.3,C,0,0,0,0,0,A,3.6,PASS
Franklin,New York,50293,9750,8452,601,4141,2352,29,3235,14867,7404,9188,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Hamilton,New York,4434,573,1386,35,390,283,3,426,1556,404,230,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Herkimer,New York,61833,12755,12815,786,4993,3104,36,4436,18608,8176,3433,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Jefferson,New York,111755,26798,15276,1651,8690,4474,65,6006,29927,12996,20979,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Kings,New York,2582830,588975,359246,36281,203969,106513,1489,143029,706976,483632,1642012,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.8,PASS
Monroe,New York,742474,154214,128049,9500,60032,34403,429,47684,216203,103620,220692,9,0,0,3,D,0,0,0,0,0,A,6.8,PASS
New York,New York,1628701,233360,268902,14375,142578,74658,939,101452,493938,245347,863489,15,1,0,5.5,F,1,0,0,0,0.3,B,9.5,PASS
Niagara,New York,210433,42064,40109,2591,17160,10375,122,14590,63263,26833,30878,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Onondaga,New York,461809,98024,78635,6038,37131,21330,267,29524,133908,61143,107930,4,0,0,1.3,C,0,0,0,0,0,A,5.1,PASS
Orange,New York,381951,97160,53541,5985,29133,16190,221,21885,103817,42664,139224,2,0,0,0.7,B,0,0,0,0,0,A,6.2,PASS
Oswego,New York,117898,24769,19265,1526,9514,5487,68,7534,34420,18209,7229,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Putnam,New York,98892,19590,17169,1207,8098,4856,57,6713,29819,5863,21898,8,2,0,3.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Queens,New York,2278906,458457,357517,28241,186074,103111,1317,140434,661427,261819,1708555,19,1,0,6.8,F,0,0,0,0,0,A,7,PASS
Richmond,New York,476179,104038,77053,6409,38014,21741,275,29865,136971,55217,189066,22,1,0,7.8,F,0,0,0,0,0,A,7.4,PASS
Rockland,New York,325695,91712,51107,5649,23877,13737,188,19050,86148,44728,121045,10,0,1,4,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Saratoga,New York,230163,46168,41728,2844,18769,11165,133,15570,68748,14319,22730,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Steuben,New York,95796,20504,18850,1263,7667,4705,55,6675,28430,12069,6125,2,0,0,0.7,B,0,0,0,0,0,A,4.7,PASS
Suffolk,New York,1481093,313019,249756,19282,119280,69976,857,96596,434698,105578,485941,25,3,0,9.8,F,0,0,0,0,0,A,6.7,PASS
Tompkins,New York,102793,15006,14900,924,8983,4413,59,5865,30343,15146,23650,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Wayne,New York,90064,19198,17002,1183,7223,4430,52,6234,26813,8511,9160,7,0,0,2.3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Westchester,New York,967612,211912,165008,13054,77133,45070,559,62459,280384,78572,453925,22,1,0,7.8,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Alexander,North Carolina,37353,7529,7489,865,2813,2646,25,3445,13146,4653,5017,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Avery,North Carolina,17505,2621,3891,301,1399,1303,12,1718,6543,2542,2021,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Buncombe,North Carolina,259103,47834,51828,5497,19891,18001,172,23440,92213,28859,42740,1,0,0,0.3,B,3,4,0,0,3,D,7.1,PASS
Caldwell,North Carolina,82029,16490,16302,1895,6189,5874,55,7616,28953,12830,10605,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Carteret,North Carolina,69524,12208,17363,1403,5376,5455,46,7385,25772,6717,9386,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Caswell,North Carolina,22698,4272,4881,491,1736,1681,15,2210,8183,3642,8822,0,0,0,0,A,INC,INC,INC,INC,INC,INC,INC,INC
Catawba,North Carolina,158652,35043,28337,4027,11688,10675,106,13629,54071,20321,39209,DNC,DNC,DNC,DNC,DNC,1,2,0,0,1.3,C,8.6,PASS
Cumberland,North Carolina,332330,82119,39617,9437,23719,17892,223,21369,104633,53788,190679,0,0,0,0,A,0,0,0,0,0,A,8.1,PASS
Davidson,North Carolina,166614,36559,30377,4201,12302,11429,111,14624,57137,24694,33811,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,8.7,PASS
Durham,North Carolina,316739,65824,41470,7564,23795,18507,211,22259,105636,41063,181752,0,0,0,0,A,1,0,0,0,0.3,B,8.6,PASS
Edgecombe,North Carolina,52005,11711,10253,1346,3796,3561,34,4655,17746,11705,33137,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Forsyth,North Carolina,379099,86957,60617,9993,27649,23954,252,30046,126134,60361,164800,5,0,0,1.7,C,0,0,0,0,0,A,7.5,PASS
Graham,North Carolina,8484,1694,2019,195,636,632,6,854,3035,1575,1192,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Granville,North Carolina,60115,12272,10293,1410,4537,4127,40,5188,20906,7331,25247,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Guilford,North Carolina,533670,118897,80949,13663,39284,33087,354,41028,177867,79267,267695,5,0,0,1.7,C,1,0,0,0,0.3,B,7.8,PASS
Haywood,North Carolina,61971,11308,15248,1299,4747,4738,41,6424,22679,8071,4631,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
